codigo_mgn,nombre_municipio,departamento,subregion_pdet,google_edificios,google_area_m2,microsoft_edificios_original,microsoft_area_m2_original,microsoft_duplicados_con_google,microsoft_unicos_agregados,microsoft_area_m2_unica_agregada,total_edificios_sin_duplicados,total_area_m2_sin_duplicados,overlap_min_ratio,fuente_prioritaria
18150,CARTAGENA DEL CHAIRÁ,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,15932,1849062.77,14037,2140262.26,8022,6015,596005.74,21947,2445068.51,0.5,google
18205,CURILLO,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,3856,396521.06,2503,393675.82,1175,1328,119906.01,5184,516427.07,0.5,google
18247,EL DONCELLO,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,9151,1178818.13,5815,1154345.41,3131,2684,260306.32,11835,1439124.45,0.5,google
18256,EL PAUJIL,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,6283,736039.03,4686,798020.48,1505,3181,356051.29,9464,1092090.32,0.5,google
18410,LA MONTAÑITA,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,9501,927367.91,7701,977897.71,2391,5310,476943.52,14811,1404311.43,0.5,google
18460,MILÁN,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,3630,363148.13,3690,533021.15,1331,2359,256188.24,5989,619336.37,0.5,google
18479,MORELIA,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2402,274564.25,1558,249867.08,782,776,72663.52,3178,347227.77,0.5,google
18592,PUERTO RICO,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,12306,1321342.94,11430,1746377.49,4364,7066,680727.33,19372,2002070.27,0.5,google
18610,SAN JOSÉ DEL FRAGUA,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,5240,524907.69,4850,623892.75,1718,3132,269193.6,8372,794101.29,0.5,google
18753,SAN VICENTE DEL CAGUÁN,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,21599,2547893.85,23587,3756489.48,8344,15243,1917607.88,36842,4465501.73,0.5,google
18756,SOLANO,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,5708,575625.73,6171,711838.04,2663,3508,280593.01,9216,856218.74,0.5,google
18785,SOLITA,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2992,306588.06,2508,322018.44,1578,930,98300.84,3922,404888.9,0.5,google
18860,VALPARAÍSO,,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,4922,536976.25,4367,634320.35,1831,2536,277866.65,7458,814842.9,0.5,google
19050,ARGELIA,,ALTO PATÍA Y NORTE DEL CAUCA,13691,976347.96,9940,1040477.78,4253,5687,436134.18,19378,1412482.14,0.5,google
19075,BALBOA,,ALTO PATÍA Y NORTE DEL CAUCA,12679,882242.35,8853,900352.57,3672,5181,367396.41,17860,1249638.76,0.5,google
19110,BUENOS AIRES,,ALTO PATÍA Y NORTE DEL CAUCA,13439,1079903.46,11444,1127879.21,4630,6814,518373.48,20253,1598276.94,0.5,google
19130,CAJIBÍO,,ALTO PATÍA Y NORTE DEL CAUCA,41281,2573777.82,23771,2270334.69,17464,6307,366093.58,47588,2939871.4,0.5,google
19137,CALDONO,,ALTO PATÍA Y NORTE DEL CAUCA,15303,1235068.39,12547,1179455.99,5594,6953,531949.73,22256,1767018.12,0.5,google
19142,CALOTO,,ALTO PATÍA Y NORTE DEL CAUCA,12220,1288623.58,9562,1236460.31,5396,4166,316450.99,16386,1605074.57,0.5,google
19212,CORINTO,,ALTO PATÍA Y NORTE DEL CAUCA,10517,901540.68,8784,1021920.92,3840,4944,379826.22,15461,1281366.9,0.5,google
19256,EL TAMBO,,ALTO PATÍA Y NORTE DEL CAUCA,38900,2449152.18,34366,3051941.0,11262,23104,1613288.68,62004,4062440.86,0.5,google
19318,GUAPI,,PACÍFICO MEDIO,6403,537166.29,5344,564062.43,3090,2254,173910.83,8657,711077.12,0.5,google
19364,JAMBALÓ,,ALTO PATÍA Y NORTE DEL CAUCA,6514,413708.23,5065,430806.9,3217,1848,119749.22,8362,533457.45,0.5,google
19418,LÓPEZ,,PACÍFICO MEDIO,24,1033.28,5967,511444.52,2,5965,511186.91,5989,512220.19,0.5,google
19450,MERCADERES,,ALTO PATÍA Y NORTE DEL CAUCA,11486,904723.62,7167,789044.43,3130,4037,298260.03,15523,1202983.65,0.5,google
19455,MIRANDA,,ALTO PATÍA Y NORTE DEL CAUCA,10353,1211334.24,6625,1056563.63,4044,2581,195398.53,12934,1406732.77,0.5,google
19473,MORALES,,ALTO PATÍA Y NORTE DEL CAUCA,31057,1965301.82,16396,1487640.96,11336,5060,281795.46,36117,2247097.28,0.5,google
19532,PATÍA,,ALTO PATÍA Y NORTE DEL CAUCA,17995,1497775.72,11031,1359599.37,5544,5487,396375.14,23482,1894150.86,0.5,google
19548,PIENDAMÓ,,ALTO PATÍA Y NORTE DEL CAUCA,30220,2622820.81,16673,2217359.97,14705,1968,146914.46,32188,2769735.27,0.5,google
19698,SANTANDER DE QUILICHAO,,ALTO PATÍA Y NORTE DEL CAUCA,35691,3842935.1,30841,4234663.51,15974,14867,1375602.83,50558,5218537.93,0.5,google
