codigo_mgn,nombre_municipio,google_total_docs,google_geometrias_cargadas,google_sin_geometria,google_geometria_invalida,microsoft_total_docs,microsoft_geometrias_cargadas,microsoft_sin_geometria,microsoft_geometria_invalida,microsoft_duplicados_google,microsoft_unicos,tasa_duplicacion_ms_google
81736,SARAVENA,25140,25140,0,0,16141,16141,0,0,8135,8006,0.503996
81794,TAME,35958,35958,0,0,20958,20958,0,0,9377,11581,0.447419
86001,MOCOA,22816,22816,0,0,12229,12229,0,0,7775,4454,0.635784
86320,ORITO,18074,18074,0,0,17840,17840,0,0,6065,11775,0.339966
86568,PUERTO ASÍS,27581,27581,0,0,21234,21234,0,0,11234,10000,0.529057
86569,PUERTO CAICEDO,7768,7768,0,0,6093,6093,0,0,3143,2950,0.515838
86571,PUERTO GUZMÁN,8326,8326,0,0,10745,10745,0,0,2915,7830,0.271289
86573,LEGUÍZAMO,2898,2898,0,0,7850,7850,0,0,1067,6783,0.135924
86757,SAN MIGUEL,12160,12160,0,0,8558,8558,0,0,4794,3764,0.560178
86865,VALLE DEL GUAMUEZ,16228,16228,0,0,14349,14349,0,0,6016,8333,0.419263
86885,VILLAGARZÓN,13366,13366,0,0,9550,9550,0,0,3765,5785,0.394241
95001,SAN JOSÉ DEL GUAVIARE,32695,32695,0,0,21446,21446,0,0,12871,8575,0.600159
95015,CALAMAR,5708,5708,0,0,5411,5411,0,0,1727,3684,0.319165
95025,EL RETORNO,11332,11332,0,0,8453,8453,0,0,4238,4215,0.50136
95200,MIRAFLORES,3670,3670,0,0,1773,1773,0,0,967,806,0.545403
