fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
google,47001,SANTA MARTA,183652,16049617.35,87.3914651079215,2.51,16355.89,0.7747572757171172
google,20001,VALLEDUPAR,171425,15392426.83,89.79102715473239,2.54,15970.21,0.771950714306548
google,76109,BUENAVENTURA,103890,7666563.16,73.79500587159495,2.59,14160.87,0.7803211117528155
google,05837,TURBO,78927,6047187.82,76.61747969642835,2.7,6606.65,0.7841047499588227
google,18001,FLORENCIA,58135,7363355.08,126.65958682377226,3.33,6693.31,0.7753084183366303
google,52835,SAN ANDRES DE TUMACO,50493,3778355.86,74.82930029905135,2.73,3543.68,0.7791699027587983
google,23807,TIERRALTA,43123,3087942.01,71.60777334601025,2.79,9550.25,0.7859106416529462
google,47189,CIÉNAGA,42068,3976137.59,94.51691523248074,2.53,6246.28,0.7682698060283351
google,19130,CAJIBÍO,41281,2578858.57,62.470835735568414,2.63,7566.65,0.7883644994065067
google,19256,EL TAMBO,38900,2452836.82,63.05493110539845,3.6,3937.27,0.7811532982005142
google,13244,EL CARMEN DE BOLÍVAR,38386,2552167.74,66.48694159328923,2.56,5170.45,0.7788306127233888
google,05045,APARTADÓ,36337,3606578.04,99.25359936153232,3.07,20916.7,0.7734313592206291
google,81794,TAME,35958,3200496.79,89.00652956226709,2.78,2534.95,0.7837573446799043
google,19698,SANTANDER DE QUILICHAO,35691,3851788.72,107.92044829228658,3.75,19079.46,0.7833725785211958
google,81065,ARAUQUITA,35077,2934442.32,83.65716338341363,2.54,3150.25,0.7865062804686832
google,20013,AGUSTÍN CODAZZI,34733,2714606.04,78.15639420723808,2.7,9223.25,0.7846586013301472
google,54810,TIBÚ,32843,2651924.01,80.7454864050178,3.09,5174.66,0.7892636056389489
google,95001,SAN JOSÉ DEL GUAVIARE,32695,3166336.55,96.84467196819085,3.53,4173.7,0.7858066829790488
google,05490,NECOCLÍ,32183,2344790.56,72.85804803778393,2.84,2360.32,0.7863920858838517
google,19473,MORALES,31057,1969077.44,63.4020491354606,3.32,2643.15,0.7866434394822424
