fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
microsoft,18247,EL DONCELLO,5815,,,,,
google,13248,EL GUAMO,4923,370485.52,75.25604712573634,3.25,1839.96,0.7795361568149503
google,27250,EL LITORAL DEL SAN JUAN,309,38160.4,123.49644012944984,5.71,7796.68,0.8086174757281553
microsoft,27250,EL LITORAL DEL SAN JUAN,1690,,,,,
google,18256,EL PAUJIL,6283,739350.75,117.67479707146268,4.45,2652.78,0.7698970555467134
microsoft,18256,EL PAUJIL,4686,,,,,
google,95025,EL RETORNO,11332,927765.43,81.8712875044123,4.15,1386.13,0.779371637839746
microsoft,95025,EL RETORNO,8453,,,,,
google,52256,EL ROSARIO,7594,450714.42,59.35138530418752,2.96,949.38,0.7852827627074005
microsoft,52256,EL ROSARIO,4855,,,,,
google,19256,EL TAMBO,38900,2452836.82,63.05493110539845,3.6,3937.27,0.7811532982005142
microsoft,19256,EL TAMBO,34366,,,,,
google,54250,EL TARRA,9826,790395.83,80.43922552411968,5.48,1974.44,0.7839741298595563
google,18001,FLORENCIA,58135,7363355.08,126.65958682377226,3.33,6693.31,0.7753084183366303
microsoft,18001,FLORENCIA,26897,,,,,
google,76275,FLORIDA,14231,1668702.76,117.25829246012226,3.87,4634.49,0.7697713161408193
microsoft,76275,FLORIDA,8375,,,,,
google,44279,FONSECA,23632,1706897.42,72.22822528774543,2.62,1861.38,0.7849059918754231
google,81300,FORTUL,15564,1335399.01,85.8005017990234,4.65,2082.97,0.7888706887689539
google,52520,FRANCISCO PIZARRO,656,41568.57,63.36672256097561,5.71,305.48,0.7808974085365853
microsoft,52520,FRANCISCO PIZARRO,1845,,,,,
google,47288,FUNDACIÓN,30591,2535488.89,82.88349154980223,2.93,2742.58,0.7804544114281978
google,19318,GUAPI,6403,536560.44,83.79828830235826,5.11,2004.69,0.7981742620646571
microsoft,19318,GUAPI,5344,,,,,
google,54344,HACARÍ,6756,494104.11,73.13559946714032,4.23,1281.36,0.7916170071047958
google,27361,ISTMINA,6766,670172.07,99.0499660065031,5.26,2727.69,0.7856862843629915
microsoft,27361,ISTMINA,732,,,,,
google,05361,ITUANGO,9063,627500.59,69.23762440692927,3.76,2581.25,0.7652207767847291
google,19364,JAMBALÓ,6514,414810.28,63.67980964077372,4.79,1209.39,0.7897448111759289
microsoft,19364,JAMBALÓ,5065,,,,,
google,20400,LA JAGUA DE IBIRICO,20110,1649721.48,82.03488214818498,2.79,11713.39,0.7776224167081055
google,50350,LA MACARENA,9900,1060861.99,107.15777676767676,3.87,2735.26,0.7922116666666666
microsoft,50350,LA MACARENA,12895,,,,,
google,18410,LA MONTAÑITA,9501,931508.71,98.0432280812546,5.34,1993.57,0.7774844121671403
microsoft,18410,LA MONTAÑITA,7701,,,,,
google,20621,LA PAZ,20413,1379884.49,67.59831920834762,2.97,4960.21,0.7758110125900162
google,52390,LA TOLA,2009,157536.02,78.41514186162269,4.82,910.47,0.78311662518666
microsoft,52390,LA TOLA,1510,,,,,
google,52405,LEIVA,6096,393389.34,64.5323720472441,3.12,1954.75,0.7793817749343831
microsoft,52405,LEIVA,3980,,,,,
google,52418,LOS ANDES,7184,417656.86,58.137090757238305,2.97,2109.65,0.7658053034521157
microsoft,52418,LOS ANDES,3875,,,,,
google,70418,LOS PALMITOS,13792,859065.11,62.2872034512761,3.45,2524.07,0.780619061774942
google,52427,MAGÜI,2548,234789.7,92.14666405023549,4.52,1736.57,0.7946303375196233
microsoft,52427,MAGÜI,3442,,,,,
google,20443,MANAURE BALCÓN DEL CESAR,5951,463738.48,77.92614350529323,3.16,1362.0,0.7875850445303311
google,50325,MAPIRIPÁN,6776,516069.95,76.1614448051948,4.82,3761.89,0.7748255165289256
