total_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio,conf_min,conf_max,fuente,municipios_cubiertos,altura_promedio_m,altura_min_m,altura_max_m
2617289,216842559.66,82.85,2.51,20916.7,0.78,0.65,0.98,google,159,,,
736207,,,,,0.97,0.92,1.0,microsoft,82,,,
