codigo_mgn,nombre_municipio,google_n_edificios,google_area_total_m2,google_conf_promedio,microsoft_n_edificios,diferencia_n_edificios,ratio_google_vs_msft
05895,ZARAGOZA,11188.0,732546.09,0.7683821862710047,,,
13744,SIMITÍ,11018.0,842676.78,0.782377527681975,,,
05893,YONDÓ,10688.0,890286.77,0.7764157092065868,,,
54800,TEORAMA,10550.0,883596.13,0.7807728151658768,,,
19212,CORINTO,10517.0,904082.28,0.7782594941523249,8784.0,1733.0,1.1973
70473,MORROA,10424.0,654654.86,0.7891905794320798,,,
19455,MIRANDA,10353.0,1214712.67,0.7853661740558292,6625.0,3728.0,1.5627
13212,CÓRDOBA,10271.0,677377.65,0.7746357998247493,,,
50350,LA MACARENA,9900.0,1060861.99,0.7922116666666666,12895.0,-2995.0,0.7677
54250,EL TARRA,9826.0,790395.83,0.7839741298595563,,,
18410,LA MONTAÑITA,9501.0,931508.71,0.7774844121671403,7701.0,1800.0,1.2337
50590,PUERTO RICO,9290.0,750737.81,0.7734720452099031,7422.0,1868.0,1.2517
18247,EL DONCELLO,9151.0,1184181.67,0.7766327395913015,5815.0,3336.0,1.5737
05361,ITUANGO,9063.0,627500.59,0.7652207767847291,,,
54245,EL CARMEN,8903.0,675892.62,0.773194249129507,,,
86571,PUERTO GUZMÁN,8326.0,697891.91,0.7827610377131876,10746.0,-2420.0,0.7748
86569,PUERTO CAICEDO,7768.0,691167.94,0.7869125128733264,6093.0,1675.0,1.2749
54670,SAN CALIXTO,7736.0,539756.57,0.7820703464322647,,,
05234,DABEIBA,7696.0,506171.25,0.7632700363825363,,,
05040,ANORÍ,7652.0,494523.08,0.7754495687401987,,,
52540,POLICARPA,7628.0,506410.02,0.7796662821185107,5303.0,2325.0,1.4384
52256,EL ROSARIO,7594.0,450714.42,0.7852827627074005,4855.0,2739.0,1.5642
73555,PLANADAS,7276.0,540162.27,0.7585172759758109,11274.0,-3998.0,0.6454
52418,LOS ANDES,7184.0,417656.86,0.7658053034521157,3875.0,3309.0,1.8539
13042,ARENAL,7022.0,494683.71,0.7805228424950157,,,
50325,MAPIRIPÁN,6776.0,516069.95,0.7748255165289256,4059.0,2717.0,1.6694
27361,ISTMINA,6766.0,670172.07,0.7856862843629915,732.0,6034.0,9.2432
54344,HACARÍ,6756.0,494104.11,0.7916170071047958,,,
50577,PUERTO LLERAS,6595.0,577680.31,0.7710042304776346,5569.0,1026.0,1.1842
19364,JAMBALÓ,6514.0,414810.28,0.7897448111759289,5065.0,1449.0,1.2861
19318,GUAPI,6403.0,536560.44,0.7981742620646571,5344.0,1059.0,1.1982
27006,ACANDÍ,6395.0,463518.25,0.7914735261923378,,,
05854,VALDIVIA,6329.0,440097.91,0.776170358666456,,,
18256,EL PAUJIL,6283.0,739350.75,0.7698970555467134,4686.0,1597.0,1.3408
70204,COLOSO,6278.0,403210.04,0.7796783370500159,,,
52079,BARBACOAS,6234.0,449886.43,0.7875701796599294,8429.0,-2195.0,0.7396
52405,LEIVA,6096.0,393389.34,0.7793817749343831,3980.0,2116.0,1.5317
13894,ZAMBRANO,6080.0,442715.85,0.7824061019736842,,,
20443,MANAURE BALCÓN DEL CESAR,5951.0,463738.48,0.7875850445303311,,,
19809,TIMBIQUÍ,5938.0,450636.37,0.7973259009767599,5178.0,760.0,1.1468
50450,PUERTO CONCORDIA,5893.0,473164.99,0.783954675038181,3682.0,2211.0,1.6005
50330,MESETAS,5795.0,537491.67,0.7812485073339086,6706.0,-911.0,0.8642
18756,SOLANO,5708.0,578277.29,0.7891108269096005,5449.0,259.0,1.0475
95015,CALAMAR,5708.0,523636.79,0.7878291695865451,5411.0,297.0,1.0549
05480,MUTATÁ,5537.0,469386.35,0.7825468304135814,,,
27800,UNGUÍA,5418.0,453286.19,0.7943950904392764,,,
73067,ATACO,5354.0,441125.7,0.7732736085169966,10931.0,-5577.0,0.4898
52233,CUMBITARA,5350.0,356303.79,0.7777105046728972,3975.0,1375.0,1.3459
18094,BELÉN DE LOS ANDAQUÍES,5328.0,574651.09,0.774428003003003,3765.0,1563.0,1.4151
18610,SAN JOSÉ DEL FRAGUA,5240.0,526616.88,0.7730810114503817,4850.0,390.0,1.0804
52250,EL CHARCO,5210.0,368163.65,0.7932840499040307,6503.0,-1293.0,0.8012
13248,EL GUAMO,4923.0,370485.52,0.7795361568149503,,,
18860,VALPARAÍSO,4922.0,539052.76,0.7783703575782203,4367.0,555.0,1.1271
13160,CANTAGALLO,4822.0,338994.19,0.7793388013272501,,,
23682,SAN JOSE DE URE,4028.0,272113.41,0.7839533763654419,,,
18205,CURILLO,3856.0,397887.93,0.7813607624481328,2503.0,1353.0,1.5406
95200,MIRAFLORES,3670.0,319843.5,0.779669863760218,1773.0,1897.0,2.0699
18460,MILÁN,3630.0,364726.24,0.773929173553719,3690.0,-60.0,0.9837
50370,URIBE,3567.0,296075.23,0.7872993271656854,6705.0,-3138.0,0.532
05107,BRICEÑO,3565.0,209040.43,0.7709585133239831,,,
05495,NECHÍ,3492.0,231978.01,0.7709954180985108,,,
70230,CHALÁN,3144.0,207116.88,0.78057868956743,,,
18029,ALBANIA,3012.0,330966.91,0.7803703519256309,2096.0,916.0,1.437
18785,SOLITA,2992.0,307796.35,0.7787127673796792,2508.0,484.0,1.193
05031,AMALFI,2983.0,185639.22,0.774049513912169,,,
52427,MAGÜI,2548.0,234789.7,0.7946303375196233,3442.0,-894.0,0.7403
18479,MORELIA,2402.0,275623.69,0.7731283513738552,1558.0,844.0,1.5417
52390,LA TOLA,2009.0,157536.02,0.78311662518666,1510.0,499.0,1.3305
52696,SANTA BÁRBARA,1505.0,105312.09,0.794738073089701,2488.0,-983.0,0.6049
73616,RIOBLANCO,1329.0,103228.07,0.7670369450714823,9018.0,-7689.0,0.1474
52490,OLAYA HERRERA,1208.0,72979.98,0.767541142384106,4394.0,-3186.0,0.2749
27615,RIOSUCIO,1000.0,55753.4,0.8022809,,,
52520,FRANCISCO PIZARRO,656.0,41568.57,0.7808974085365853,1845.0,-1189.0,0.3556
52473,MOSQUERA,597.0,39843.58,0.7881623115577889,1731.0,-1134.0,0.3449
52621,ROBERTO PAYÁN,364.0,24371.21,0.7736326923076924,2501.0,-2137.0,0.1455
27425,MEDIO ATRATO,313.0,19454.59,0.7645038338658148,,,
27250,EL LITORAL DEL SAN JUAN,309.0,38160.4,0.8086174757281553,1690.0,-1381.0,0.1828
27150,CARMEN DEL DARIEN,281.0,12634.63,0.7895046263345196,,,
27205,CONDOTO,239.0,18041.43,0.7857673640167363,,,
52612,RICAURTE,196.0,10836.32,0.7884326530612246,4878.0,-4682.0,0.0402
27745,SIPÍ,1.0,9.87,0.6651,653.0,-652.0,0.0015
27450,MEDIO SAN JUAN,,,,1027.0,,
27491,NÓVITA,,,,452.0,,
